"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
"Palencia, Daniel",694037,CHC,FF,4-Seam Fastball,-2.5,0,8,50.0,3,0.333,0.667,0.417,57.1,33.3,50.0,0.329,1.031,0.56,100.0
"Anderson, Grant",681982,MIL,FF,4-Seam Fastball,1.1,0,11,28.9,3,0.0,0.0,0.233,25.0,0.0,0.0,0.255,0.286,0.389,50.0
"Newcomb, Sean",656794,CWS,FF,4-Seam Fastball,-2.6,0,11,33.3,3,0.5,0.5,0.45,28.6,33.3,16.7,0.323,0.358,0.298,50.0
"Lucchesi, Joey",664192,LAA,FF,4-Seam Fastball,-42.4,-2,4,16.0,3,1.0,1.5,0.95,0.0,0.0,0.0,0.317,0.88,0.563,50.0
"Díaz, Edwin",621242,LAD,FF,4-Seam Fastball,4.8,1,18,66.7,3,0.0,0.0,0.0,12.5,33.3,100.0,0.122,0.275,0.165,50.0
"Megill, Trevor",656730,MIL,FF,4-Seam Fastball,0.4,0,11,73.3,3,0.333,0.333,0.3,50.0,33.3,20.0,0.298,0.436,0.317,50.0
"Hoffman, Jeff",656546,TOR,FF,4-Seam Fastball,-14.6,-1,8,25.0,3,0.333,1.333,0.667,50.0,66.7,66.7,0.312,1.186,0.613,100.0
"Brogdon, Connor",641401,CLE,FF,4-Seam Fastball,-3.5,0,13,39.4,3,0.333,1.333,0.667,66.7,66.7,50.0,0.321,1.277,0.651,100.0
"Burke, Brock",656271,CIN,FF,4-Seam Fastball,6.8,1,15,50.0,3,0.0,0.0,0.0,28.6,0.0,0.0,0.123,0.139,0.122,33.3
"Weissert, Greg",669711,BOS,FF,4-Seam Fastball,-6.5,-1,12,28.6,3,0.333,1.333,0.667,28.6,33.3,14.3,0.472,1.692,0.887,100.0
"Hiraldo, Yaramil",682274,BAL,FF,4-Seam Fastball,-5.3,0,7,30.4,3,,,0.7,0.0,0.0,0.0,,,0.7,
"Webb, Logan",657277,SF,FF,4-Seam Fastball,5.0,1,11,12.8,3,0.0,0.0,0.0,33.3,66.7,33.3,0.112,0.14,0.11,0.0
